product_id^|^mtl_id^|^portfolio^|^tariff_option^|^sim_only_to^|^mt_description^|^mt_desc_for_channel_remarks^|^report_description^|^is_active^|^sub_stufen_wert^|^rate_eu_tariff^|^rate_eu_mtid^|^national_minutes^|^landline_minutes^|^vodafone_minutes^|^d1_minutes^|^eplus_minutes^|^o2_minutes^|^vodafone_sms^|^other_network_sms^|^national_sms^|^vodafone_mms^|^internet_volume^|^minimum_requirement^|^maximum_requirement^|^creation_date^|^mt_id_group^|^to_only^|^sim_only_discount^|^soc_discount
46^|^46^|^Enjoy^|^RED4LOS^|^^|^EnjoyMoreRedLSimOnly^|^RED4_L_00^|^2463^|^47^|^47^|^46.2101^|^46.2101^|^47^|^47^|^47^|^47^|^47^|^47^|^47^|^47^|^47^|^47^|^47^|^47^|^47^|^20180818^|^47^|^1^|^47^|^0
47^|^47^|^Enjoy^|^RED4LOS^|^^|^EnjoyMoreRedLSimOnly^|^RED4_L_00^|^2445^|^48^|^48^|^46.2101^|^46.2101^|^48^|^48^|^48^|^48^|^48^|^48^|^48^|^48^|^48^|^48^|^48^|^48^|^48^|^20180711^|^48^|^1^|^48^|^0
48^|^48^|^Enjoy^|^RED4LOS^|^^|^EnjoyMoreRedLSimOnly^|^RED4_L_00^|^2463^|^49^|^49^|^46.2101^|^46.2101^|^49^|^49^|^49^|^49^|^49^|^49^|^49^|^49^|^49^|^49^|^49^|^49^|^49^|^20180701^|^49^|^1^|^49^|^0
49^|^49^|^Enjoy^|^RED4LOS^|^^|^EnjoyMoreRedLSimOnly^|^RED4_L_00^|^2445^|^50^|^50^|^46.2101^|^46.2101^|^50^|^50^|^50^|^50^|^50^|^50^|^50^|^50^|^50^|^50^|^50^|^50^|^50^|^20180614^|^50^|^1^|^50^|^0
50^|^50^|^Enjoy^|^RED4LOS^|^^|^EnjoyMoreRedLSimOnly^|^RED4_L_00^|^2463^|^51^|^51^|^46.2101^|^46.2101^|^51^|^51^|^51^|^51^|^51^|^51^|^51^|^51^|^51^|^51^|^51^|^51^|^51^|^20180130^|^51^|^1^|^51^|^0
51^|^51^|^Enjoy^|^RED4LOS^|^^|^EnjoyMoreRedLSimOnly^|^RED4_L_00^|^2463^|^52^|^52^|^46.2101^|^46.2101^|^52^|^52^|^52^|^52^|^52^|^52^|^52^|^52^|^52^|^52^|^52^|^52^|^52^|^20180214^|^52^|^1^|^52^|^0
52^|^52^|^Enjoy^|^RED4LOS^|^^|^EnjoyMoreRedLSimOnly^|^RED4_L_00^|^2445^|^53^|^53^|^46.2101^|^46.2101^|^53^|^53^|^53^|^53^|^53^|^53^|^53^|^53^|^53^|^53^|^53^|^53^|^53^|^20180329^|^53^|^1^|^53^|^0
53^|^53^|^Enjoy^|^RED4LOS^|^^|^EnjoyMoreRedLSimOnly^|^RED4_L_00^|^2445^|^54^|^54^|^46.2101^|^46.2101^|^54^|^54^|^54^|^54^|^54^|^54^|^54^|^54^|^54^|^54^|^54^|^54^|^54^|^20180628^|^54^|^1^|^54^|^0
54^|^54^|^Enjoy^|^RED4LOS^|^^|^EnjoyMoreRedLSimOnly^|^RED4_L_00^|^2463^|^55^|^55^|^46.2101^|^46.2101^|^55^|^55^|^55^|^55^|^55^|^55^|^55^|^55^|^55^|^55^|^55^|^55^|^55^|^20180918^|^55^|^1^|^55^|^0
55^|^55^|^Enjoy^|^RED4LOS^|^^|^EnjoyMoreRedLSimOnly^|^RED4_L_00^|^2445^|^56^|^56^|^46.2101^|^46.2101^|^56^|^56^|^56^|^56^|^56^|^56^|^56^|^56^|^56^|^56^|^56^|^56^|^56^|^20180204^|^56^|^1^|^56^|^0
